m1_msun,m2_msun,scale_factor,redshift,chirp_mass_msun,total_mass_msun,mass_ratio_q,eta,passes_quality_cut
2.110806e+07,3.957794e+06,0.17716900,4.64432845,7.470066e+06,2.506585e+07,0.18750157,0.13296475,1
1.268856e+06,1.261262e+06,0.17721801,4.64276750,1.101292e+06,2.530118e+06,0.99401534,0.24999775,1
4.355654e+07,1.194364e+06,0.17736600,4.63805905,5.006724e+06,4.475090e+07,0.02742100,0.02597684,1
1.404976e+08,2.839474e+06,0.17739400,4.63716915,1.346705e+07,1.433371e+08,0.02021012,0.01941734,1
5.487555e+07,2.812341e+06,0.17748301,4.63434221,9.138001e+06,5.768789e+07,0.05124944,0.04637432,1
4.619900e+07,1.364086e+06,0.17748401,4.63431052,5.549203e+06,4.756308e+07,0.02952632,0.02785700,1
2.693121e+07,8.069309e+06,0.17748800,4.63418374,1.240053e+07,3.500052e+07,0.29962671,0.17739577,1
3.915279e+07,1.192055e+06,0.17749400,4.63399312,4.789363e+06,4.034484e+07,0.03044623,0.02867364,1
2.293785e+07,7.868748e+06,0.17790900,4.62085106,1.138010e+07,3.080660e+07,0.34304644,0.19018263,1
1.883200e+06,1.617626e+06,0.17790900,4.62085106,1.518556e+06,3.500827e+06,0.85897721,0.24856130,1
2.286360e+07,1.235278e+06,0.17801100,4.61763037,3.927771e+06,2.409887e+07,0.05402814,0.04863127,1
3.065456e+06,1.330038e+06,0.17803399,4.61690487,1.728280e+06,4.395495e+06,0.43387944,0.21102980,1
3.569900e+06,1.421960e+06,0.17812000,4.61419261,1.921647e+06,4.991860e+06,0.39831946,0.20371299,1
1.393441e+06,1.263925e+06,0.17813900,4.61359384,1.155037e+06,2.657366e+06,0.90705334,0.24940614,1
2.010895e+06,1.334060e+06,0.17829800,4.60858798,1.419910e+06,3.344954e+06,0.66341596,0.23976412,1
7.712961e+06,1.752214e+06,0.17833100,4.60754992,3.042701e+06,9.465175e+06,0.22717791,0.15085199,1
2.002569e+07,1.421801e+06,0.17833100,4.60754992,4.039991e+06,2.144749e+07,0.07099886,0.06189754,1
1.822232e+07,1.676675e+06,0.17833100,4.60754992,4.278242e+06,1.989900e+07,0.09201219,0.07715967,1
1.601107e+07,1.751550e+06,0.17843600,4.60425038,4.157233e+06,1.776262e+07,0.10939618,0.08888507,1
3.252303e+06,1.314812e+06,0.17854200,4.60092294,1.764837e+06,4.567115e+06,0.40427121,0.20500801,1
1.338478e+06,1.300666e+06,0.17858800,4.59948028,1.148613e+06,2.639144e+06,0.97174985,0.24994868,1
6.147860e+07,1.722616e+06,0.17875400,4.59428035,7.158176e+06,6.320121e+07,0.02801976,0.02651316,1
2.023649e+06,1.652111e+06,0.17887899,4.59037137,1.590140e+06,3.675760e+06,0.81640189,0.24744581,1
8.445896e+06,1.352958e+06,0.17897201,4.58746601,2.732266e+06,9.798855e+06,0.16019122,0.11900893,1
2.139770e+07,3.024919e+06,0.17906800,4.58447073,6.443028e+06,2.442262e+07,0.14136657,0.10851666,1
5.346487e+06,1.316459e+06,0.17907199,4.58434619,2.206745e+06,6.662945e+06,0.24622872,0.15854158,1
1.643785e+08,3.928949e+07,0.17917199,4.58122939,6.672496e+07,2.036680e+08,0.23901842,0.15569542,1
1.277676e+07,3.195955e+06,0.17917800,4.58104233,5.320313e+06,1.597272e+07,0.25013807,0.16005301,1
3.142707e+06,1.452582e+06,0.17918400,4.58085529,1.833176e+06,4.595289e+06,0.46220717,0.21618167,1
1.941674e+06,1.311569e+06,0.17919800,4.58041952,1.383940e+06,3.253243e+06,0.67548374,0.24062152,1
5.784071e+06,1.294308e+06,0.17939700,4.57422917,2.262434e+06,7.078379e+06,0.22377104,0.14941821,1
1.592309e+06,1.225759e+06,0.17941000,4.57382545,1.214141e+06,2.818068e+06,0.76979965,0.24577036,1
1.496797e+06,1.417307e+06,0.17950299,4.57093772,1.267871e+06,2.914104e+06,0.94689376,0.24981399,1
5.104886e+06,1.390997e+06,0.17981599,4.56124060,2.229768e+06,6.495883e+06,0.27248335,0.16828126,1
2.056732e+06,1.611633e+06,0.18003500,4.55447567,1.582602e+06,3.668364e+06,0.78358916,0.24631949,1
1.354219e+06,1.326380e+06,0.18004900,4.55404355,1.166723e+06,2.680599e+06,0.97944295,0.24997304,1
5.441541e+06,1.362396e+06,0.18041600,4.54274557,2.267060e+06,6.803937e+06,0.25036949,0.16014179,1
3.625731e+06,1.818187e+06,0.18045600,4.54151712,2.209216e+06,5.443918e+06,0.50146783,0.22243904,1
2.166755e+06,1.407428e+06,0.18046200,4.54133272,1.513235e+06,3.574184e+06,0.64955579,0.23871650,1
6.562312e+06,1.280552e+06,0.18056899,4.53804938,2.375623e+06,7.842864e+06,0.19513734,0.13661700,1
1.537408e+06,1.480322e+06,0.18067600,4.53476947,1.313261e+06,3.017730e+06,0.96286875,0.24991054,1
1.550605e+06,1.365167e+06,0.18093100,4.52696879,1.266081e+06,2.915772e+06,0.88040901,0.24898881,1
1.517420e+06,1.338840e+06,0.18101101,4.52452594,1.240341e+06,2.856259e+06,0.88231346,0.24902274,1
1.590360e+06,1.201658e+06,0.18101101,4.52452594,1.201108e+06,2.792018e+06,0.75558845,0.24515451,1
1.526484e+06,1.491822e+06,0.18110500,4.52165862,1.313690e+06,3.018305e+06,0.97729293,0.24996703,1
1.397567e+06,1.255614e+06,0.18114500,4.52043950,1.152880e+06,2.653181e+06,0.89842840,0.24928436,1
1.642442e+06,1.519368e+06,0.18122600,4.51797203,1.375006e+06,3.161810e+06,0.92506671,0.24962121,1
1.381494e+06,1.208964e+06,0.18125200,4.51718042,1.124559e+06,2.590458e+06,0.87511331,0.24889104,1
